DIVISION_MOA,DIVISION_PETREL,MOA_FACILITY,PETREL_FACILITY,FACILITY_TYPE_MOA,FACILITY_TYPE_PETREL,BED_SIZE_MOA,BED_SIZE_PETREL
NEW ENGLAND,NEW ENGLAND,M_0000033337,P_AGGREGATED_NEW ENGLAND_AMBULATORY CARE CENTER,SURGI CENTER,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000008044,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000013489,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000022105,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000024691,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000024742,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000024754,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000024757,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,UNKNOWN,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000025180,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000025195,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000025255,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,SURGI CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000025282,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000025543,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000025732,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000028360,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000033073,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000033310,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000035359,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000035377,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000035650,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000035668,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000035806,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000037807,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000038377,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000084505,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000084514,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000084532,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,CLINIC,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000084568,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000084796,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000084835,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000096196,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
,NEW ENGLAND,M_0000104431,P_AGGREGATED_NEW ENGLAND_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000025339,P_AGGREGATED_NEW ENGLAND_HEALTHCARE CORPORATE OFFICE,HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 3: 101-200,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000025705,P_AGGREGATED_NEW ENGLAND_HEALTHCARE CORPORATE OFFICE,HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 4: 201-400,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000084832,P_AGGREGATED_NEW ENGLAND_HEALTHCARE CORPORATE OFFICE,MEDICAL GROUP,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000084847,P_AGGREGATED_NEW ENGLAND_HEALTHCARE CORPORATE OFFICE,NON HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000089380,P_AGGREGATED_NEW ENGLAND_HEALTHCARE CORPORATE OFFICE,HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000026680,P_AGGREGATED_NEW ENGLAND_HEALTHCARE WAREHOUSE/SUPPLYCTR,HOSPITAL,HEALTHCARE WAREHOUSE/SUPPLYCTR,CATEGORY 4: 201-400,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000026344,P_AGGREGATED_NEW ENGLAND_PHYSICIAN(S),NON HOSPITAL,PHYSICIAN(S),CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000026653,P_AGGREGATED_NEW ENGLAND_PHYSICIAN(S),NON HOSPITAL,PHYSICIAN(S),CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000027310,P_AGGREGATED_NEW ENGLAND_PHYSICIAN(S),MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000025702,P_AGGREGATED_NEW ENGLAND_SKILLED NURSING,NON HOSPITAL,SKILLED NURSING,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000025663,P_AGGREGATED_NEW ENGLAND_SURGERY CENTER,NON HOSPITAL,SURGERY CENTER,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000027088,P_AGGREGATED_NEW ENGLAND_SURGERY CENTER,SURGI CENTER,SURGERY CENTER,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000027121,P_AGGREGATED_NEW ENGLAND_SURGERY CENTER,SURGI CENTER,SURGERY CENTER,CATEGORY 1: 0-50,AGGREGATED
PACIFIC,PACIFIC,M_0000000607,P_AGGREGATED_PACIFIC_ACADEMIC HEALTH SYSTEM,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 7: 1001+,AGGREGATED
PACIFIC,PACIFIC,M_0000033448,P_AGGREGATED_PACIFIC_ACADEMIC HEALTH SYSTEM,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,AGGREGATED
PACIFIC,PACIFIC,M_0000040519,P_AGGREGATED_PACIFIC_ACADEMIC HEALTH SYSTEM,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 7: 1001+,AGGREGATED
PACIFIC,PACIFIC,M_0000041671,P_AGGREGATED_PACIFIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 3: 101-200,AGGREGATED
PACIFIC,PACIFIC,M_0000041686,P_AGGREGATED_PACIFIC_ACADEMIC HEALTH SYSTEM,MEDICAL GROUP,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,AGGREGATED
PACIFIC,PACIFIC,M_0000000094,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
PACIFIC,PACIFIC,M_0000001744,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
PACIFIC,PACIFIC,M_0000014050,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
PACIFIC,PACIFIC,M_0000014143,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
PACIFIC,PACIFIC,M_0000016588,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
PACIFIC,PACIFIC,M_0000016945,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
PACIFIC,PACIFIC,M_0000020908,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
PACIFIC,PACIFIC,M_0000021952,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
PACIFIC,PACIFIC,M_0000026194,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
PACIFIC,PACIFIC,M_0000034015,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
PACIFIC,PACIFIC,M_0000040519,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 7: 1001+,AGGREGATED
PACIFIC,PACIFIC,M_0000072880,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
PACIFIC,PACIFIC,M_0000078928,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
PACIFIC,PACIFIC,M_0000078982,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
PACIFIC,PACIFIC,M_0000079018,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
PACIFIC,PACIFIC,M_0000080893,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
PACIFIC,PACIFIC,M_0000081010,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
PACIFIC,PACIFIC,M_0000099406,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,UNKNOWN,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
PACIFIC,PACIFIC,M_0000034948,P_AGGREGATED_PACIFIC_HEALTHCARE CORPORATE OFFICE,HEALTH SYSTEM,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,AGGREGATED
PACIFIC,PACIFIC,M_0000071989,P_AGGREGATED_PACIFIC_HEALTHCARE CORPORATE OFFICE,SURGI CENTER,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,AGGREGATED
PACIFIC,PACIFIC,M_0000072316,P_AGGREGATED_PACIFIC_HEALTHCARE CORPORATE OFFICE,HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,AGGREGATED
PACIFIC,PACIFIC,M_0000072790,P_AGGREGATED_PACIFIC_HEALTHCARE CORPORATE OFFICE,NON HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,AGGREGATED
PACIFIC,PACIFIC,M_0000086338,P_AGGREGATED_PACIFIC_HEALTHCARE CORPORATE OFFICE,NON HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,AGGREGATED
PACIFIC,PACIFIC,M_0000002368,P_AGGREGATED_PACIFIC_PHYSICIAN(S),HOSPITAL,PHYSICIAN(S),CATEGORY 1: 0-50,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000004081,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000004651,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 7: 1001+,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000006496,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000007030,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000012337,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,SURGI CENTER,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000012361,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,NON HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000012373,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,NON HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000012397,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,MEDICAL GROUP,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000019093,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000022468,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 7: 1001+,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000022639,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,NON HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000022996,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000039475,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,NON HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000054100,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000068704,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000097453,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,AGGREGATED
,SOUTH ATLANTIC,M_0000098356,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000099379,P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000002929,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000008002,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000010174,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000012664,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000013954,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000014074,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000014167,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000014194,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000014197,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000015070,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000016774,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000019093,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000021235,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 7: 1001+,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000022423,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000022450,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000022453,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000022468,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 7: 1001+,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000022996,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000023791,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000023806,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000033187,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,UNKNOWN,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000033607,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000036184,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
EAST SOUTH CENTRAL,SOUTH ATLANTIC,M_0000078022,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000080854,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,IMAGING CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000081517,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
